state,county,total_population,num_icu_be,bed_utiliz,potential,pco60,cases,deaths,deaths_per_capita,deaths_per_case,cases_per_capita
Alabama,Autauga,55036,6,0.623113,30,0.031870049,39,3,5.45E-05,0.076923077,0.000708627
Alabama,Baldwin,203360,44,1.6579492,24,0.00515834,168,3,1.48E-05,0.017857143,0.000826121
Alabama,Barbour,26201,5,0.43064,44,0.046944773,35,0,0,0,0.001335827
Alabama,Blount,57667,6,0.499069,0,0.039311911,34,0,0,0,0.000589592
Alabama,Butler,20126,7,0.183251,28,0.036569611,34,1,4.97E-05,0.029411765,0.001689357
Alabama,Calhoun,115527,24,0.809041,73,0.009781263,90,3,2.60E-05,0.033333333,0.000779039
Alabama,Chilton,43805,6,0.285458,4,0.035886314,51,1,2.28E-05,0.019607843,0.001164251
Alabama,Clay,13407,4,0.291126,7,0.064891475,19,1,7.46E-05,0.052631579,0.00141717
Alabama,Coffee,51073,7,0.238052,32,0.030838212,98,0,0,0,0.001918822
Alabama,Colbert,54435,22,0.517603,63,0.011738771,23,2,3.67E-05,0.086956522,0.000422522
Alabama,Covington,37519,13,0.612013,59,0.021109305,34,1,2.67E-05,0.029411765,0.000906208
Alabama,Cullman,81703,12,0.508172,0,0.020060463,52,0,0,0,0.000636452
Alabama,Dale,49393,6,0.288241,12,0.035430122,25,0,0,0,0.000506145
Alabama,Dallas,40755,23,0.4046,66,0.012857318,37,3,7.36E-05,0.081081081,0.000907864
Alabama,DeKalb,71194,12,0.292219,37,0.018470658,74,2,2.81E-05,0.027027027,0.001039413
Alabama,Elmore,80989,5,0.363791,32,0.039338676,79,1,1.23E-05,0.012658228,0.000975441
Alabama,Escambia,37621,14,0.648198,47,0.016480157,26,1,2.66E-05,0.038461538,0.000691103
Alabama,Etowah,103132,40,0.719351,124,0.004353644,126,8,7.76E-05,0.063492063,0.001221735
Alabama,Fayette,16657,8,0.261309,16,0.023053371,5,0,0,0,0.000300174
Alabama,Franklin,31507,7,0.397819,51,0.03199289,43,0,0,0,0.001364776
Alabama,Geneva,26572,6,0.165847,10,0.042111998,8,0,0,0,0.000301069
Alabama,Houston,104108,66,1.388606,93,0.003419526,79,3,2.88E-05,0.037974684,0.000758827
Alabama,Jackson,52326,10,0.152479,78,0.025685128,45,2,3.82E-05,0.044444444,0.000859993
Alabama,Jefferson,659460,281,4.601015,686,0.000444303,839,36,5.46E-05,0.042908224,0.001272253
Alabama,Lauderdale,92590,36,0.557445,125,0.005281348,31,2,2.16E-05,0.064516129,0.000334809
Alabama,Lawrence,33288,6,0.167314,55,0.038602499,12,0,0,0,0.00036049
Alabama,Lee,156597,20,0.525725,-58,0.005587591,368,24,0.00015326,0.065217391,0.002349981
Alabama,Limestone,91695,10,0.518431,5,0.020066525,42,0,0,0,0.00045804
Alabama,Madison,353213,58,1.291548,1,0.001981807,214,4,1.13E-05,0.018691589,0.000605867
Alabama,Marengo,19743,5,0.445242,62,0.051917135,43,3,0.000151953,0.069767442,0.002177987
Alabama,Marion,30058,8,0.449192,23,0.068168208,75,6,0.000199614,0.08,0.002495176
Alabama,Marshall,94738,20,0.48187,0,0.011325973,310,5,5.28E-05,0.016129032,0.003272182
Alabama,Mobile,414328,76,2.888337,388,0.001354,942,43,0.000103783,0.045647558,0.002273561
Alabama,Monroe,21745,8,0.177691,45,0.031823408,11,1,4.60E-05,0.090909091,0.000505863
Alabama,Montgomery,227120,58,2.043654,208,0.002210285,292,5,2.20E-05,0.017123288,0.001285664
Alabama,Morgan,119157,23,0.553836,73,0.006596339,65,0,0,0,0.000545499
Alabama,Pike,33287,9,0.183957,0,0.021509899,65,0,0,0,0.001952714
Alabama,Russell,58480,8,0.389333,23,0.022828317,53,0,0,0,0.000906293
Alabama,Shelby,208721,32,0.542414,40,0.00622841,318,9,4.31E-05,0.028301887,0.001523565
Alabama,St. Clair,86937,6,0.58637,0,0.036313652,68,0,0,0,0.000782176
Alabama,Talladega,80888,14,0.498186,78,0.016640293,58,2,2.47E-05,0.034482759,0.000717041
Alabama,Tallapoosa,40756,6,0.460461,47,0.044999509,275,17,0.000417116,0.061818182,0.006747473
Alabama,Tuscaloosa,204424,52,0.752195,86,0.002123038,195,0,0,0,0.0009539
Alabama,Walker,64927,12,0.287486,60,0.021039013,93,0,0,0,0.001432378
Alabama,Winston,23968,4,0.283031,10,0.068591455,11,0,0,0,0.000458945
Alaska,Anchorage,298225,60,1.305262,96,0.002001844,171,4,1.34E-05,0.023391813,0.000573393
Arizona,Cochise,126516,12,0.476968,25,0.023206551,36,0,0,0,0.000284549
Arizona,Coconino,138639,41,0.574969,25,0.004082545,425,40,0.000288519,0.094117647,0.003065515
Arizona,Gila,53145,8,0.952647,19,0.044105748,11,0,0,0,0.000206981
Arizona,La Paz,20477,3,0.356603,0,0.149484788,7,1,4.88E-05,0.142857143,0.000341847
Arizona,Maricopa,4155501,715,13.3337813,716,0.000193719,3457,122,2.94E-05,0.035290714,0.000831909
Arizona,Mohave,204691,80,1.61865,59,0.004489694,96,4,1.95E-05,0.041666667,0.000469
Arizona,Navajo,107902,12,0.429183,0,0.018739226,628,18,0.000166818,0.02866242,0.005820096
Arizona,Pima,1007257,287,4.216302,414,0.00082402,1164,76,7.55E-05,0.065292096,0.001155614
Arizona,Pinal,405537,24,0.5854871,0,0.011217226,359,9,2.22E-05,0.025069638,0.000885246
Arizona,Yavapai,220972,39,1.04187,11,0.00987908,77,1,4.53E-06,0.012987013,0.00034846
Arizona,Yuma,204281,42,0.416216,0,0.005330892,53,1,4.90E-06,0.018867925,0.000259447
Arkansas,Ashley,20771,6,0.384657,8,0.040874296,13,0,0,0,0.000625873
Arkansas,Baxter,41093,17,0.514519,98,0.022874942,5,0,0,0,0.000121675
Arkansas,Benton,251823,30,0.782981,121,0.005904941,94,0,0,0,0.000373278
Arkansas,Boone,37212,24,0.195868,54,0.010991078,5,0,0,0,0.000134365
Arkansas,Columbia,23992,6,0.374247,19,0.038096032,9,0,0,0,0.000375125
Arkansas,Craighead,104246,66,1.358131,237,0.002801067,68,0,0,0,0.000652303
Arkansas,Crawford,62119,8,0.281955,68,0.02735073,4,0,0,0,6.44E-05
Arkansas,Drew,18620,5,0.404026,0,0.041783029,13,1,5.37E-05,0.076923077,0.000698174
Arkansas,Faulkner,121282,25,0.790011,16,0.006480764,75,2,1.65E-05,0.026666667,0.000618393
Arkansas,Garland,97994,41,1.223977,90,0.007153499,114,0,0,0,0.001163337
Arkansas,Greene,44197,8,0.285148,15,0.025476842,16,0,0,0,0.000362016
Arkansas,Hempstead,22154,8,0.127418,0,0.029746321,5,1,4.51E-05,0.2,0.000225693
Arkansas,Hot Spring,33480,6,0.395591,8,0.041905615,10,0,0,0,0.000298686
Arkansas,Independence,37097,12,0.436942,40,0.019570316,9,0,0,0,0.000242607
Arkansas,Jefferson,71373,34,0.432048,200,0.006402982,160,9,0.000126098,0.05625,0.002241744
Arkansas,Johnson,26155,8,0.215237,33,0.026839992,30,0,0,0,0.001147008
Arkansas,Mississippi,43534,5,0.304193,0,0.040060642,13,0,0,0,0.000298617
Arkansas,Ouachita,24378,8,0.165185,16,0.031708918,6,0,0,0,0.000246124
Arkansas,Phillips,19518,6,0.095179,28,0.039553233,5,1,5.12E-05,0.2,0.000256174
Arkansas,Polk,20212,6,0.284063,24,0.048980803,8,0,0,0,0.000395804
Arkansas,Pope,63372,11,0.428817,33,0.018304614,42,0,0,0,0.000662753
Arkansas,Pulaski,392848,144,3.74464,399,0.00096475,484,15,3.82E-05,0.030991736,0.001232029
Arkansas,Randolph,17514,2,0.165069,18,0.13806098,16,0,0,0,0.000913555
Arkansas,Saline,116252,16,0.382634,47,0.014270722,56,1,8.60E-06,0.017857143,0.000481712
Arkansas,Sebastian,127362,69,1.188563,252,0.003054286,12,0,0,0,9.42E-05
Arkansas,St. Francis,26688,6,0.243004,62,0.033685552,81,0,0,0,0.003035072
Arkansas,Union,40022,16,0.325525,55,0.015116686,38,0,0,0,0.000949478
Arkansas,Washington,223683,61,1.09177,105,0.002543778,77,3,1.34E-05,0.038961039,0.000344237
Arkansas,White,78706,13,0.653513,193,0.015894595,31,1,1.27E-05,0.032258065,0.000393871
California,Alameda,1629615,323,7.5111846,146,0.000653529,1519,56,3.44E-05,0.036866359,0.000932122
California,Amador,37306,6,0.470548,0,0.057926339,7,0,0,0,0.000187637
California,Butte,225207,43,1.646643,0,0.005537128,16,0,0,0,7.10E-05
California,Contra Costa,1123678,163,3.776287,61,0.001263707,830,25,2.22E-05,0.030120482,0.000738646
California,Del Norte,27442,6,0.518019,10,0.038043874,3,0,0,0,0.000109321
California,El Dorado,185015,28,0.806522,1,0.009642461,43,0,0,0,0.000232414
California,Fresno,971616,141,2.883754,73,0.000990103,498,7,7.20E-06,0.014056225,0.000512548
California,Humboldt,135490,20,1.100479,33,0.007196103,53,0,0,0,0.000391173
California,Imperial,179957,28,0.835554,0,0.006107014,284,7,3.89E-05,0.024647887,0.001578155
California,Inyo,18195,4,0.353425,0,0.076779335,20,1,5.50E-05,0.05,0.001099203
California,Kern,878744,137,3.675078,76,0.001034431,837,5,5.69E-06,0.005973716,0.000952496
California,Kings,150183,22,0.51439,31,0.006225738,71,1,6.66E-06,0.014084507,0.000472757
California,Lake,64095,8,1.313863,12,0.037241595,6,0,0,0,9.36E-05
California,Los Angeles,10105722,2004,44.5258423,1635,8.38E-05,20417,942,9.32E-05,0.046138022,0.002020341
California,Madera,154440,52,0.941519,0,0.018382543,44,2,1.30E-05,0.045454545,0.0002849
California,Marin,260814,30,1.178381,0,0.004221399,225,12,4.60E-05,0.053333333,0.000862684
California,Mendocino,87497,14,1.845315,42,0.019852109,11,0,0,0,0.000125719
California,Merced,267390,24,0.909373,0,0.006294177,110,3,1.12E-05,0.027272727,0.000411384
California,Mono,14058,2,0.268815,0,0.096884336,26,1,7.11E-05,0.038461538,0.001849481
California,Monterey,433168,47,2.162587,38,0.00651941,185,4,9.23E-06,0.021621622,0.000427086
California,Napa,141005,48,0.970923,90,0.00746782,65,2,1.42E-05,0.030769231,0.000460977
California,Nevada,98838,10,1.072,10,0.03400514,39,1,1.01E-05,0.025641026,0.000394585
California,Orange,3155816,629,11.8750513,92,0.000291208,2126,40,1.27E-05,0.018814675,0.000673677
California,Placer,374985,70,1.8326739,55,0.003517474,143,8,2.13E-05,0.055944056,0.000381349
California,Riverside,2355002,365,9.0400353,153,0.000529087,3643,141,5.99E-05,0.038704365,0.00154692
California,Sacramento,1495400,262,4.575351,35,0.000471446,1045,41,2.74E-05,0.03923445,0.00069881
California,San Benito,58671,8,0.33447,0,0.021458642,48,2,3.41E-05,0.041666667,0.000818121
California,San Bernardino,2121220,350,9.319428,-162,0.00037997,1772,82,3.87E-05,0.046275395,0.000835368
California,San Diego,3283665,540,9.5519122,371,0.00032281,3141,123,3.75E-05,0.039159503,0.000956553
California,San Francisco,864263,293,4.406746,138,0.000615553,1427,23,2.66E-05,0.01611773,0.001651118
California,San Joaquin,724153,110,3.479313,-67,0.001412685,527,25,3.45E-05,0.04743833,0.000727747
California,San Luis Obispo,280119,54,1.661084,16,0.005440545,169,1,3.57E-06,0.00591716,0.000603315
California,San Mateo,763450,110,2.292626,511,0.001616347,1080,46,6.03E-05,0.042592593,0.001414631
California,Santa Barbara,442996,62,1.902555,200,0.002390541,471,7,1.58E-05,0.014861996,0.001063215
California,Santa Clara,1911226,283,5.157773,88,0.000566129,2105,104,5.44E-05,0.049406176,0.001101387
California,Santa Cruz,273263,22,0.996805,20,0.009518303,124,2,7.32E-06,0.016129032,0.000453775
California,Shasta,178919,81,1.024211,26,0.003303171,30,4,2.24E-05,0.133333333,0.000167674
California,Siskiyou,43530,8,0.833754,11,0.080519182,5,0,0,0,0.000114863
California,Solano,434981,92,1.9655471,50,0.002250673,231,4,9.20E-06,0.017316017,0.000531058
California,Sonoma,500943,82,2.939923,3,0.003026292,222,2,3.99E-06,0.009009009,0.000443164
California,Stanislaus,535684,74,1.967747,14,0.001965711,312,7,1.31E-05,0.022435897,0.000582433
